Tytuł,Link,Źródło
„Budowa wiaty do tymczasowego gromadzenia odpadów ropopochodnych w BP22”,https://platformazakupowa.pern.pl/adverts/details/internalContract/NonAdvertActsDetails.xhtml?iDemand=4185,PERN
"Usługa wsparcia dla oprogramowania kadrowego: eTeczka, Reporter, Generator dokumentów, Replikator, Korekty ZUS, Scanflow",https://platformazakupowa.pern.pl/adverts/details/internalContract/NonAdvertActsDetails.xhtml?iDemand=4147,PERN
Wykonanie prac projektowych dotyczących budowy zbiornika w BP01,https://platformazakupowa.pern.pl/adverts/details/internalContract/NonAdvertActsDetails.xhtml?iDemand=4198,PERN
Wykonanie hydroizolacji budynku pompowni estrów wraz wykonaniem nowej nawierzchni rampy rozładunkowej w BP 4,https://platformazakupowa.pern.pl/adverts/details/internalContract/NonAdvertActsDetails.xhtml?iDemand=4248,PERN
„Montaż instalacji fotowoltaicznej na terenie Budynku Zarządu” - prace projektowe,https://platformazakupowa.pern.pl/adverts/details/internalContract/NonAdvertActsDetails.xhtml?iDemand=4155,PERN
Rozbudowa stacji 400/110 kV Pasikurowice w związku z wprowadzeniem linii 400 kV i wymianą transformatora 400/110 kV- uruchomienie AT3 400/110kV i modernizacja AT2 400/110kV”,https://przetargi.pse.pl/open-preview-auction.html/61875/rozbudowa-stacji-400-110-kv-pasikurowice-w-zwiazku-z-wprowadzeniem-linii-400-kv-i-wymiana-transformatora-400-110-kv-uruchomienie-at3-400-110kv-i-modernizacja-at2-400-110kv-1,pse
Budowa linii 400kV Gdańsk Przyjaźń – Choczewo – w zakresie Odcinka I od SE Choczewo do słupa nr 64 (łącznie ze słupem).,https://przetargi.pse.pl/open-preview-auction.html/61856/budowa-linii-400kv-gdansk-przyjazn-choczewo-w-zakresie-odcinka-i-od-se-choczewo-do-slupa-nr-64-lacznie-ze-slupem,pse
Rozbudowa i przebudowa Stacji 400/220/110 kV Kozienice - Etap 1,https://przetargi.pse.pl/open-preview-auction.html/61838/rozbudowa-i-przebudowa-stacji-400-220-110-kv-kozienice-etap-1,pse
Rozbudowa i modernizacja stacji 400/220/110kV Polkowice.,https://przetargi.pse.pl/open-preview-auction.html/61837/rozbudowa-i-modernizacja-stacji-400-220-110kv-polkowice,pse
Świadczenie usług porządkowych w budynkach stacyjnych na stacjach elektroenergetycznych położonych na terenie działania PSE S.A. w Radomiu.,https://przetargi.pse.pl/open-preview-auction.html/61717/swiadczenie-uslug-porzadkowych-w-budynkach-stacyjnych-na-stacjach-elektroenergetycznych-polozonych-na-terenie-dzialania-pse-s-a-w-radomiu-1,pse
Świadczenie usług utrzymania czystości i porządku w pomieszczeniach w podziale na 6 części,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/34036/details,PKP
Budowa miejsc parkingowych przy przystanku Przetycz na linii kolejowej nr 29 w ramach „Rządowego programu budowy lub modernizacji przystanków kolejowych na lata 2021-2025”,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/34035/details,PKP
„Budowa miejsc parkingowych przy przystanku Skarżysko Milica na linii kolejowej nr 25”,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/34026/details,PKP
"Zakup barierek do zabudowania na peronach st. Dragacz, Górna Grupa, Grupa, Dubielno, Jeżewo",https://platformazakupowa.plk-sa.pl/app/demand/notice/public/34023/details,PKP
